latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,fwd_azimuth,way_type,way_surface,node:intersection,node:railway,node:crossing,node:highway,node:stop,start_stop,azimuth_diff,elevation_diff
50.51733099999999,14.985743999999997,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,1,0.0,0.0
50.51732352979284,14.985736156271797,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.517316059585134,14.985728312546057,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.517308589376896,14.985720468822803,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.51730111916814,14.985712625102025,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.51729364895882,14.985704781383722,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.51728617874897,14.985696937667887,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.517278708538576,14.98568909395454,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.51727123832766,14.985681250243667,8.031903739858393,90.0,7.272727272727272,235.0,-146.1993837942684,residential,asphalt,,,,,,0,0.0,0.0
50.51726378880889,14.985673358278122,8.135528211062397,90.0,7.235094493120501,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.2440624318809909,0.0
50.51725633997148,14.985665464724732,8.24256764037374,90.0,7.1962215203013855,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.517248891133534,14.98565757117383,8.349607069685081,90.0,7.15734854748227,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.51724144229505,14.98564967762542,8.456646498996426,90.0,7.118475574663155,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.51723399345602,14.985641784079489,8.563685928307768,90.0,7.07960260184404,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.51722654461644,14.985633890536032,8.67072535761911,90.0,7.040729629024924,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.51721909577631,14.985625996995063,8.777764786930454,90.0,7.00185665620581,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.51721164693564,14.985618103456586,8.884804216241797,90.0,6.962983683386694,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.517204198094426,14.985610209920592,8.99184364555314,90.0,6.924110710567579,235.0,-145.9553213623874,residential,asphalt,,,,,,0,0.0,0.0
50.517196709384905,14.985602409757686,9.069783315445944,90.0,6.923625667421929,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.4691806314848463,0.0
50.517189219585646,14.98559461214818,9.146927963802028,90.0,6.9241894037662215,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51718172978585,14.985586814541142,9.224072612158114,90.0,6.924753140110514,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51717423998553,14.98557901693658,9.3012172605142,90.0,6.925316876454806,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51716675018466,14.985571219334476,9.378361908870286,90.0,6.925880612799099,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51715926038328,14.985563421734843,9.455506557226371,90.0,6.926444349143392,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51715177058136,14.985555624137689,9.532651205582455,90.0,6.927008085487684,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51714428077891,14.985547826542984,9.609795853938545,90.0,6.927571821831976,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51713679097592,14.985540028950751,9.686940502294629,90.0,6.928135558176269,235.0,-146.42450199387224,residential,asphalt,,,,,,0,0.0,0.0
50.51712932607049,14.98553217389463,9.736106099965788,90.0,6.87857093420994,235.0,-145.17976277922304,residential,asphalt,,,,,,0,1.244739214649201,0.0
50.51712194603729,14.985524122949272,9.689896502278534,90.0,6.658128384060125,235.0,-145.17976277922304,residential,asphalt,main_to_main,,,,,0,0.0,0.0
50.51711441873695,14.985516418728642,9.64368690459128,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,2.2994177150514474,0.0
50.517106838696606,14.985508838679548,9.597477306904024,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.51709925865576,14.985501258632883,9.55126770921677,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.517091678614406,14.985493678588645,9.505058111529516,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.51708409857255,14.985486098546833,9.45884851384226,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.51707651853019,14.98547851850745,9.412638916155004,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.51706893848734,14.9854709384705,9.366429318467752,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
50.517061358443975,14.985463358435974,9.320219720780496,90.0,6.6000000000000005,235.0,-147.4791804942745,residential,asphalt,,,,,,0,0.0,0.0
